7.2	0.23	0.32	8.5	0.058	47	186	0.9956	3.19	0.4	9.9
6.6	0.17	0.38	1.5	0.032	28	112	0.9914	3.25	0.55	11.4
8.3	0.14	0.34	1.1	0.042	7	47	0.9934	3.47	0.4	10.2
6.7	0.24	0.39	2.9	0.173	63	157	0.9937	3.1	0.34	9.4
6.6	0.24	0.27	1.4	0.057	33	152	0.9934	3.22	0.56	9.5
6.9	0.25	0.35	1.3	0.039	29	191	0.9908	3.13	0.52	11
7.4	0.2	0.36	1.2	0.038	44	111	0.9926	3.36	0.34	9.9
6	0.19	0.26	12.4	0.048	50	147	0.9972	3.3	0.36	8.9
6.2	0.35	0.03	1.2	0.064	29	120	0.9934	3.22	0.54	9.1
7.4	0.24	0.29	10.1	0.05	21	105	0.9962	3.13	0.35	9.5
7.1	0.2	0.34	16	0.05	51	166	0.9985	3.21	0.6	9.2
7.1	0.26	0.29	12.4	0.044	62	240	0.9969	3.04	0.42	9.2
8.6	0.265	0.36	1.2	0.034	15	80	0.9913	2.95	0.36	11.4
8.5	0.21	0.41	4.3	0.036	24	99	0.9947	3.18	0.53	9.7
5.2	0.44	0.04	1.4	0.036	43	119	0.9894	3.36	0.33	12.1
6.7	0.46	0.18	2.4	0.034	25	98	0.9896	3.08	0.44	12.6
9.8	0.42	0.48	9.85	0.034	5	110	0.9958	2.87	0.29	10
6.3	0.22	0.43	4.55	0.038	31	130	0.9918	3.35	0.33	11.5
5.9	0.23	0.3	12.9	0.054	57	170	0.9972	3.28	0.39	9.4
6.9	0.27	0.4	14	0.05	64	227	0.9979	3.18	0.58	9.6
6.5	0.28	0.28	8.5	0.047	54	210	0.9962	3.09	0.54	8.9
6.8	0.26	0.24	7.8	0.052	54	214	0.9961	3.13	0.47	8.9
6.8	0.26	0.34	13.9	0.034	39	134	0.9949	3.33	0.53	12
5.8	0.26	0.24	9.2	0.044	55	152	0.9961	3.31	0.38	9.4
8.3	0.28	0.4	7.8	0.041	38	194	0.9976	3.34	0.51	9.6
7.7	0.31	0.26	7.8	0.031	23	90	0.9944	3.13	0.5	10.4
8.5	0.26	0.21	16.2	0.074	41	197	0.998	3.02	0.5	9.8
5.8	0.24	0.44	3.5	0.029	5	109	0.9913	3.53	0.43	11.7
6.7	0.26	0.39	1.1	0.04	45	147	0.9935	3.32	0.58	9.6
5.8	0.36	0.38	0.9	0.037	3	75	0.9904	3.28	0.34	11.4
6.9	0.29	0.4	19.45	0.043	36	156	0.9996	2.93	0.47	8.9
5.4	0.59	0.07	7	0.045	36	147	0.9944	3.34	0.57	9.7
7	0.3	0.49	4.7	0.036	17	105	0.9916	3.26	0.68	12.4
7.3	0.32	0.25	7.2	0.056	47	180	0.9961	3.08	0.47	8.8
5.9	0.15	0.31	5.8	0.041	53	155	0.9945	3.52	0.46	10.5
6.3	0.33	0.27	1.2	0.046	34	175	0.9934	3.37	0.54	9.4
7.3	0.4	0.24	6.7	0.058	41	166	0.995	3.2	0.41	9.9
6.7	0.19	0.41	15.6	0.056	75	155	0.9995	3.2	0.44	8.8
7.3	0.33	0.4	6.85	0.038	32	138	0.992	3.03	0.3	11.9
6	0.26	0.32	3.5	0.028	29	113	0.9912	3.4	0.71	12.3
7.3	0.24	0.43	2	0.021	20	69	0.99	3.08	0.56	12.2
6.2	0.35	0.04	1.2	0.06	23	108	0.9934	3.26	0.54	9.2
6.4	0.41	0.24	14	0.048	24	113	0.9982	3.44	0.53	9.8
6.8	0.32	0.21	2.2	0.044	15	68	0.9932	3.17	0.39	9.4
6.2	0.18	0.38	1.5	0.028	36	117	0.993	3.47	0.54	9.7
7.1	0.23	0.39	1.6	0.032	12	65	0.9898	3.25	0.4	12.7
6.3	0.19	0.28	1.8	0.022	28	158	0.9907	3.2	0.64	11.4
5.7	0.44	0.13	7	0.025	28	173	0.9913	3.33	0.48	12.5
7.2	0.4	0.62	10.8	0.041	70	189	0.9976	3.08	0.49	8.6
6.5	0.3	0.29	2.25	0.037	8	210	0.9937	3.19	0.62	9.9
5.8	0.36	0.32	1.7	0.033	22	96	0.9898	3.03	0.38	11.2
5.9	0.32	0.39	3.3	0.114	24	140	0.9934	3.09	0.45	9.2
7.2	0.46	0.65	10.4	0.05	76	192	0.9976	3.16	0.42	8.7
7.7	0.22	0.42	1.9	0.052	10	87	0.9922	3.3	0.49	11.8
7.2	0.34	0.44	4.2	0.047	51	144	0.991	3.01	0.76	12.3
5.9	0.37	0.1	1.6	0.057	39	128	0.9924	3.24	0.48	10.1
6.5	0.28	0.27	5.2	0.04	44	179	0.9948	3.19	0.69	9.4
6.5	0.28	0.29	2.7	0.038	26	107	0.9912	3.32	0.41	11.6
8.2	0.22	0.3	1.8	0.047	47	185	0.9933	3.13	0.5	10.2
7.1	0.22	0.33	2.8	0.033	48	153	0.9899	3.15	0.38	12.7
6	0.38	0.26	6	0.034	42	134	0.9912	3.38	0.38	12.3
7	0.23	0.33	5.8	0.04	25	136	0.995	3.19	0.58	9.5
7	0.29	0.37	4.9	0.034	26	127	0.9928	3.17	0.44	10.8
6.9	0.19	0.4	1.4	0.036	14	55	0.9909	3.08	0.68	11.5
7.2	0.24	0.4	1.4	0.045	31	106	0.9914	2.88	0.38	10.8
6.3	0.26	0.49	1.5	0.052	34	134	0.9924	2.99	0.61	9.8
7.4	0.37	0.35	5.7	0.061	12	94	0.9965	3.48	0.69	10.7
7.5	0.23	0.68	11	0.047	37	133	0.9978	2.99	0.38	8.8
7.4	0.19	0.3	1.4	0.057	33	135	0.993	3.12	0.5	9.6
7	0.23	0.42	18.05	0.05	35	144	0.9999	3.22	0.42	8.8
5.8	0.335	0.14	5.8	0.046	49	197	0.9937	3.3	0.71	10.3
7.1	0.26	0.34	14.4	0.067	35	189	0.9986	3.07	0.53	9.1
7.3	0.34	0.21	3.2	0.05	14	136	0.9936	3.25	0.44	10.2
7.1	0.28	0.26	1.9	0.049	12	86	0.9934	3.15	0.38	9.4
6.4	0.24	0.5	11.6	0.047	60	211	0.9966	3.18	0.57	9.3
6.2	0.36	0.26	13.2	0.051	54	201	0.9976	3.25	0.46	9
6.8	0.67	0.3	13	0.29	22	193	0.9984	3.08	0.67	9
8.2	0.27	0.43	1.6	0.035	31	128	0.9916	3.1	0.5	12.3
6.4	0.31	0.39	7.5	0.04	57	213	0.99475	3.32	0.43	10
6.4	0.39	0.21	1.2	0.041	35	136	0.99225	3.15	0.46	10.2
